"","ReadsCount","Description","TaxonID","Superkingdom","Phylum","Class","Order","Family","Genus","Species"
"Rhodococcus erythropolis","14","Rhodococcus erythropolis PR4 DNA, complete genome"," 234621","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus","Rhodococcus erythropolis"
"Riemerella anatipestifer","14","Riemerella anatipestifer DSM 15868, complete genome"," 693978","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Riemerella","Riemerella anatipestifer"
"Roseateles depolymerans","14","Roseateles depolymerans strain KCTC 42856, complete genome","  76731","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","","Roseateles","Roseateles depolymerans"
"Sphingomonas sp. DC-6","14","Sphingomonas sp. DC-6 chromosome, complete genome","1283312","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas sp. DC-6"
"Verminephrobacter eiseniae","14","Verminephrobacter eiseniae EF01-2, complete genome"," 391735","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Verminephrobacter","Verminephrobacter eiseniae"
"Anabaena sp. WA102","13","Anabaena sp. WA102, complete genome","1647413","Bacteria","Cyanobacteria","","Nostocales","Nostocaceae","Anabaena","Anabaena sp. WA102"
"Arsenicicoccus sp. oral taxon 190","13","Arsenicicoccus sp. oral taxon 190, complete genome","1658671","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Intrasporangiaceae","Arsenicicoccus","Arsenicicoccus sp. oral taxon 190"
"Cellulomonas flavigena","13","Cellulomonas flavigena DSM 20109, complete genome"," 446466","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Cellulomonadaceae","Cellulomonas","Cellulomonas flavigena"
"Chryseobacterium glaciei","13","Chryseobacterium sp. IHBB 10212 chromosome, complete genome","1685010","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Chryseobacterium","Chryseobacterium glaciei"
"Janthinobacterium agaricidamnosum","13","Janthinobacterium agaricidamnosum NBRC 102515 = DSM 9628, complete genome","1349767","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Janthinobacterium","Janthinobacterium agaricidamnosum"
"Janthinobacterium sp. 1_2014MBL_MicDiv","13","Janthinobacterium sp. 1_2014MBL_MicDiv, complete genome","1644131","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Janthinobacterium","Janthinobacterium sp. 1_2014MBL_MicDiv"
"Methanococcus aeolicus","13","Methanococcus aeolicus Nankai-3, complete genome"," 419665","Archaea","Euryarchaeota","Methanococci","Methanococcales","Methanococcaceae","Methanococcus","Methanococcus aeolicus"
"Microbacterium sp. No. 7","13","Microbacterium sp. No. 7, complete genome","1714373","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","Microbacterium sp. No. 7"
"Mitsuaria sp. 7","13","Mitsuaria sp. 7, complete genome","1658665","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","","Mitsuaria","Mitsuaria sp. 7"
"Mycoplasma suis","13","Mycoplasma suis str. Illinois, complete genome"," 768700","Bacteria","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasma","Mycoplasma suis"
"Neorhizobium galegae","13","Neorhizobium galegae, complete genome","1028801","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Neorhizobium","Neorhizobium galegae"
"Paracoccus yeei","13","Paracoccus yeei strain FDAARGOS_252 chromosome, complete genome"," 147645","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Paracoccus","Paracoccus yeei"
"Propionibacterium freudenreichii","13","Propionibacterium freudenreichii subsp. shermanii CIRM-BIA1, complete genome"," 754252","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Propionibacterium","Propionibacterium freudenreichii"
"Pseudonocardia sp. EC080610-09","13","Pseudonocardia sp. EC080610-09, complete genome","1688404","Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Pseudonocardia","Pseudonocardia sp. EC080610-09"
"Pseudoxanthomonas suwonensis","13","Pseudoxanthomonas suwonensis 11-1, complete genome"," 743721","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas","Pseudoxanthomonas suwonensis"
"Rhodococcus fascians","13","Rhodococcus fascians D188, complete genome","1051973","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus","Rhodococcus fascians"
"Sphingomonas wittichii","13","Sphingomonas wittichii RW1, complete genome"," 392499","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas wittichii"
"Staphylococcus sp. AntiMn-1","13","Staphylococcus sp. AntiMn-1, complete genome","1715860","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus sp. AntiMn-1"
"Streptococcus mitis","13","Streptococcus mitis B6 complete genome, strain B6"," 365659","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus mitis"
"Streptococcus pneumoniae","13","Streptococcus pneumoniae TIGR4, complete genome"," 170187","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus pneumoniae"
"Acidovorax ebreus","12","Acidovorax ebreus TPSY, complete genome"," 535289","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax","Acidovorax ebreus"
"Agrobacterium rhizogenes","12","Agrobacterium rhizogenes strain K599 chromosome 1, complete sequence","    359","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Agrobacterium","Agrobacterium rhizogenes"
"Agrobacterium vitis","12","Agrobacterium vitis S4 chromosome 1, complete sequence"," 311402","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Agrobacterium","Agrobacterium vitis"
"Brachybacterium sp. VM2412","12","Brachybacterium sp. VM2412 chromosome, complete genome","2017484","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Dermabacteraceae","Brachybacterium","Brachybacterium sp. VM2412"
"Bradyrhizobium oligotrophicum","12","Bradyrhizobium oligotrophicum S58 DNA, complete genome","1245469","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium oligotrophicum"
"Bradyrhizobium sp.","12","Bradyrhizobium sp. BF49 genome assembly, chromosome: I","    376","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium sp."
"Bradyrhizobium sp. CCGE-LA001","12","Bradyrhizobium sp. CCGE-LA001, complete genome","1223566","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium sp. CCGE-LA001"
"Brucella abortus","12","Brucella abortus biovar 1 str. 9-941 chromosome I, complete sequence"," 262698","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Brucellaceae","Brucella","Brucella abortus"
"Brucella sp. 09RB8471","12","Brucella sp. 09RB8471 chromosome 1, complete sequence","1149952","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Brucellaceae","Brucella","Brucella sp. 09RB8471"
"Deinococcus radiodurans","12","Deinococcus radiodurans R1 chromosome 1, complete sequence"," 243230","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Deinococcus radiodurans"
"Deinococcus soli Cha et al. 2016","12","'Deinococcus soli' Cha et al. 2014 strain N5, complete genome","1309411","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Deinococcus soli Cha et al. 2016"
"Dyella japonica","12","Dyella japonica A8, complete genome","1217721","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Dyella","Dyella japonica"
"Leclercia sp. LSNIH3","12","Leclercia sp. LSNIH3 chromosome, complete genome","1920116","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Leclercia","Leclercia sp. LSNIH3"
"Oligotropha carboxidovorans","12","Oligotropha carboxidovorans OM5 strain OM5, complete genome"," 504832","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Oligotropha","Oligotropha carboxidovorans"
"Pseudomonas monteilii","12","Pseudomonas monteilii SB3078, complete genome","1435044","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas monteilii"
"Pseudomonas sp. Os17","12","Pseudomonas sp. Os17 DNA, complete genome","1500686","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas sp. Os17"
"Pseudomonas sp. St29","12","Pseudomonas sp. St29 DNA, complete genome","1500687","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas sp. St29"
"Pseudomonas sp. VLB120","12","Pseudomonas sp. VLB120, complete genome","  69328","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas sp. VLB120"
"Rhodoferax koreense","12","Rhodoferax sp. DCY110, complete genome","1842727","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Rhodoferax","Rhodoferax koreense"
"Serratia sp. YD25","12","Serratia sp. YD25 chromosome, complete genome","1759437","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Serratia","Serratia sp. YD25"
"Sphingomonas panacis","12","Sphingomonas panacis strain DCY99, complete genome","1560345","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas panacis"
"Staphylococcus haemolyticus","12","Staphylococcus haemolyticus JCSC1435 DNA, complete genome"," 279808","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus haemolyticus"
"Variovorax sp. PAMC 28711","12","Variovorax sp. PAMC 28711, complete genome","1795631","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax","Variovorax sp. PAMC 28711"
"Acidovorax sp. P4","11","Acidovorax sp. P4, complete genome","1662458","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax","Acidovorax sp. P4"
"Aeromicrobium sp. 592","11","Aeromicrobium sp. 592 chromosome, complete genome","2079793","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Aeromicrobium","Aeromicrobium sp. 592"
"Aminobacter aminovorans","11","Aminobacter aminovorans strain KCTC 2477, complete genome","  83263","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Aminobacter","Aminobacter aminovorans"
"Bacteriovorax stolpii","11","Bacteriovorax stolpii strain DSM 12778 chromosome, complete genome","    960","Bacteria","Proteobacteria","Oligoflexia","Bacteriovoracales","Bacteriovoracaceae","Bacteriovorax","Bacteriovorax stolpii"
"Blastochloris viridis","11","Blastochloris viridis strain ATCC 19567, complete genome","   1079","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Blastochloris","Blastochloris viridis"
"Brachybacterium ginsengisoli","11","Brachybacterium ginsengisoli strain DCY80 chromosome, complete genome","1331682","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Dermabacteraceae","Brachybacterium","Brachybacterium ginsengisoli"
"Candidatus Tokpelaia hoelldoblerii","11","Candidatus Tokpelaia hoelldoblerii isolate Hsal, complete genome","1902579","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","","Candidatus Tokpelaia","Candidatus Tokpelaia hoelldoblerii"
"Caulobacter segnis","11","Caulobacter segnis ATCC 21756, complete genome"," 509190","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter","Caulobacter segnis"
"Caulobacter sp. K31","11","Caulobacter sp. K31, complete genome"," 366602","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter","Caulobacter sp. K31"
"Corynebacterium sphenisci","11","Corynebacterium sphenisci DSM 44792, complete genome","1437874","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium sphenisci"
"Corynebacterium striatum","11","Corynebacterium striatum strain KC-Na-01 chromosome, complete genome","  43770","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium striatum"
"Herbaspirillum frisingense","11","Herbaspirillum frisingense strain AA6 chromosome, complete genome","  92645","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Herbaspirillum","Herbaspirillum frisingense"
"Hoeflea sp. IMCC20628","11","Hoeflea sp. IMCC20628, complete genome","1620421","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Hoeflea","Hoeflea sp. IMCC20628"
"Intrasporangium calvum","11","Intrasporangium calvum DSM 43043, complete genome"," 710696","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Intrasporangiaceae","Intrasporangium","Intrasporangium calvum"
"Massilia putida","11","Massilia putida strain 6NM-7T chromosome, complete genome","1141883","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","Massilia putida"
"Mesorhizobium amorphae","11","Mesorhizobium amorphae CCNWGS0123, complete genome","1082933","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Mesorhizobium","Mesorhizobium amorphae"
"Mesorhizobium ciceri","11","Mesorhizobium ciceri biovar biserrulae WSM1271, complete genome"," 765698","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Mesorhizobium","Mesorhizobium ciceri"
"Methanococcus vannielii","11","Methanococcus vannielii SB, complete genome"," 406327","Archaea","Euryarchaeota","Methanococci","Methanococcales","Methanococcaceae","Methanococcus","Methanococcus vannielii"
"Microbacterium chocolatum","11","Microbacterium chocolatum strain SIT 101 chromosome, complete genome","  84292","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","Microbacterium chocolatum"
"Microvirga ossetica","11","Microvirga ossetica strain V5/3M chromosome, complete genome","1882682","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","Microvirga","Microvirga ossetica"
"Pannonibacter phragmitetus","11","Pannonibacter phragmitetus strain 31801, complete genome"," 121719","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pannonibacter","Pannonibacter phragmitetus"
"Pedobacter ginsengisoli","11","Pedobacter ginsengisoli strain T01R-27 chromosome, complete genome"," 363852","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","Pedobacter ginsengisoli"
"Pedobacter heparinus","11","Pedobacter heparinus DSM 2366, complete genome"," 485917","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","Pedobacter heparinus"
"Pseudomonas sp. ATCC 13867","11","Pseudomonas denitrificans ATCC 13867, complete genome","1294143","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas sp. ATCC 13867"
"Pseudonocardia sp. HH130630-07","11","Pseudonocardia sp. HH130630-07, complete genome","1690815","Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Pseudonocardia","Pseudonocardia sp. HH130630-07"
"Rhizobium sp. NT-26","11","Rhizobium sp. NT-26 chromosome, complete genome","1125847","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium","Rhizobium sp. NT-26"
"Rhizorhabdus dicambivorans","11","Rhizorhabdus dicambivorans strain Ndbn-20 chromosome, complete genome","1850238","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Rhizorhabdus","Rhizorhabdus dicambivorans"
"Rhodococcus sp. PBTS 2","11","Rhodococcus sp. PBTS2, complete genome","1653479","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus","Rhodococcus sp. PBTS 2"
"Rhodococcus sp. YL-1","11","Rhodococcus sp. YL-1 chromosome, complete genome","1045808","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus","Rhodococcus sp. YL-1"
"Sphingobium sp. TKS","11","Sphingobium sp. TKS chromosome 1, complete sequence","1315974","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium","Sphingobium sp. TKS"
"Sphingopyxis sp. 113P3","11","Sphingopyxis sp. 113P3, complete genome"," 292913","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingopyxis","Sphingopyxis sp. 113P3"
"Sphingopyxis terrae","11","Sphingopyxis terrae NBRC 15098 strain 203-1, complete genome","1219058","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingopyxis","Sphingopyxis terrae"
"Staphylococcus saprophyticus","11","Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305 DNA, complete genome"," 342451","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus saprophyticus"
"Streptomyces albus","11","Streptomyces albus J1074, complete genome"," 457425","Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces albus"
"Xanthomonas oryzae","11","Xanthomonas oryzae pv. oryzae KACC 10331, complete genome"," 291331","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Xanthomonas","Xanthomonas oryzae"
"Acinetobacter sp. SWBY1","10","Acinetobacter sp. SWBY1 chromosome, complete genome","2079596","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter sp. SWBY1"
"Acinetobacter sp. TGL-Y2","10","Acinetobacter sp. TGL-Y2, complete genome","1407071","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter sp. TGL-Y2"
"Agrobacterium fabrum","10","Agrobacterium tumefaciens str. C58 circular chromosome, complete sequence"," 176299","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Agrobacterium","Agrobacterium fabrum"
"Amycolatopsis methanolica","10","Amycolatopsis methanolica 239, complete genome","1068978","Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Amycolatopsis","Amycolatopsis methanolica"
"Blastomonas sp. RAC04","10","Blastomonas sp. RAC04 chromosome, complete genome","1842535","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Blastomonas","Blastomonas sp. RAC04"
"Burkholderia territorii","10","Burkholderia territorii strain RF8-non-BP5 chromosome 1, complete sequence","1503055","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Burkholderia territorii"
"Caulobacter mirabilis","10","Caulobacter mirabilis strain FWC 38 chromosome, complete genome","  69666","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter","Caulobacter mirabilis"
"Chryseobacterium sp. IHB B 17019","10","Chryseobacterium sp. IHB B 17019, complete genome","1721091","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Chryseobacterium","Chryseobacterium sp. IHB B 17019"
"Comamonas serinivorans","10","Comamonas serinivorans strain DSM 26136, complete genome","1082851","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonas","Comamonas serinivorans"
"Flavobacterium indicum","10","Flavobacterium indicum GPTSA100-9 complete genome","1094466","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Flavobacterium indicum"
"Janthinobacterium sp. LM6","10","Janthinobacterium sp. LM6 chromosome, complete genome","1938606","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Janthinobacterium","Janthinobacterium sp. LM6"
"Janthinobacterium svalbardensis","10","Janthinobacterium svalbardensis strain PAMC 27463 chromosome, complete genome"," 368607","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Janthinobacterium","Janthinobacterium svalbardensis"
"Kocuria flava","10","Kocuria flava strain HO-9041, complete genome"," 446860","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Kocuria","Kocuria flava"
"Kribbella flavida","10","Kribbella flavida DSM 17836, complete genome"," 479435","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Kribbella","Kribbella flavida"
"Massilia sp. NR 4-1","10","Massilia sp. NR 4-1, complete genome","1678028","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","Massilia sp. NR 4-1"
"Massilia sp. ZMN-3","10","Massilia sp. ZMN-3 chromosome, complete genome","2072590","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","Massilia sp. ZMN-3"
"Miniimonas sp. S16","10","Miniimonas sp. S16 chromosome, complete genome","2171623","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Beutenbergiaceae","Miniimonas","Miniimonas sp. S16"
"Mycoplasma hyopneumoniae","10","Mycoplasma hyopneumoniae J, complete genome"," 262719","Bacteria","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasma","Mycoplasma hyopneumoniae"
"Nocardiopsis dassonvillei","10","Nocardiopsis dassonvillei subsp. dassonvillei DSM 43111 chromosome 1, complete sequence"," 446468","Bacteria","Actinobacteria","Actinobacteria","Streptosporangiales","Nocardiopsaceae","Nocardiopsis","Nocardiopsis dassonvillei"
"Paracoccus denitrificans","10","Paracoccus denitrificans PD1222 chromosome 1, complete sequence"," 318586","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Paracoccus","Paracoccus denitrificans"
"Pedobacter sp. PACM 27299","10","Pedobacter sp. PACM 27299, complete genome","1727164","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","Pedobacter sp. PACM 27299"
"Pseudomonas alkylphenolica","10","Pseudomonas alkylphenolica strain KL28 chromosome, complete genome"," 237609","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas alkylphenolica"
"Pseudomonas sp. GR 6-02","10","Pseudomonas sp. GR 6-02, complete genome","1659194","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas sp. GR 6-02"
"Pseudonocardia sp. EC080625-04","10","Pseudonocardia sp. EC080625-04, complete genome","1096868","Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Pseudonocardia","Pseudonocardia sp. EC080625-04"
"Shigella sp. PAMC 28760","10","Shigella sp. PAMC 28760 chromosome, complete genome","1813821","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Shigella","Shigella sp. PAMC 28760"
"Sinorhizobium americanum","10","Sinorhizobium americanum CCGM7, complete genome","1408224","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Sinorhizobium","Sinorhizobium americanum"
"Sinorhizobium medicae","10","Sinorhizobium medicae WSM419, complete genome"," 366394","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Sinorhizobium","Sinorhizobium medicae"
"Sphingopyxis sp. MG","10","Sphingopyxis sp. MG chromosome, complete genome","1866325","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingopyxis","Sphingopyxis sp. MG"
"Staphylococcus hominis","10","Staphylococcus hominis subsp. hominis strain K1 chromosome, complete genome"," 145391","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus hominis"
"Starkeya novella","10","Starkeya novella DSM 506, complete genome"," 639283","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Starkeya","Starkeya novella"
"Stenotrophomonas nitritireducens","10","Stenotrophomonas nitritireducens strain 2001, complete genome","  83617","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","Stenotrophomonas nitritireducens"
"Verticillium dahliae","10","Verticillium dahliae JR2 chromosome 1, complete sequence","1202531","Eukaryota","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Verticillium","Verticillium dahliae"
"Xanthomonas sacchari","10","Xanthomonas sacchari strain R1, complete genome","  56458","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Xanthomonas","Xanthomonas sacchari"
"Acinetobacter sp. ACNIH2","9","Acinetobacter sp. ACNIH2 chromosome, complete genome","1758189","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter sp. ACNIH2"
"Bordetella bronchiseptica","9","Bordetella bronchiseptica strain RB50, complete genome"," 257310","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Bordetella","Bordetella bronchiseptica"
"Bradyrhizobium sp. ORS 285","9","Bradyrhizobium sp. ORS 285 strain ORS285 genome assembly, chromosome: BRAD285"," 115808","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium sp. ORS 285"
"Burkholderia gladioli","9","Burkholderia gladioli BSR3 chromosome 1, complete sequence"," 999541","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Burkholderia gladioli"
"Citrobacter freundii","9","Citrobacter freundii CFNIH1, complete genome","1333848","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter","Citrobacter freundii"
"Corynebacterium camporealensis","9","Corynebacterium camporealensis strain CIP 105508 chromosome, complete genome"," 161896","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium camporealensis"
"Corynebacterium humireducens","9","Corynebacterium humireducens NBRC 106098 = DSM 45392, complete genome","1223515","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium humireducens"
"Cupriavidus basilensis","9","Cupriavidus basilensis strain 4G11 chromosome main, complete sequence","  68895","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Cupriavidus","Cupriavidus basilensis"
"Dyella thiooxydans","9","Dyella thiooxydans strain ATSB10, complete genome"," 445710","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Dyella","Dyella thiooxydans"
"Glutamicibacter arilaitensis","9","Arthrobacter arilaitensis RE117 chromosome, complete sequence"," 861360","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Glutamicibacter","Glutamicibacter arilaitensis"
